context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,3,atr,1.5,0.1,1.5,0.3,5826,-1.3014,0.2890,27.0168,-99.9998,-99.9998,6506.6742,3.7319,-15.326,1.2642,0.3321,2.9679,83.4535,1976,718,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,1.5,0.5,4177,-1.0295,0.3006,31.3622,-99.9916,-99.9916,6401.8617,3.5681,-12.305,0.9875,0.3985,2.1279,77.8789,3625,715,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,2,0,7720,-2.4866,0.3009,20.9585,-100.0000,-100.0000,6549.4274,4.8392,-17.25,2.4477,0.2691,3.9328,87.3834,0,1010,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,2,0.3,5773,-1.2778,0.3456,26.2082,-99.9997,-99.9997,6790.0137,4.7913,-13.926,1.2637,0.3326,2.9409,83.3535,1954,1008,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,2,0.5,4137,-1.0110,0.3687,28.3781,-99.9882,-99.9882,6876.4943,4.5475,-11.05,0.9881,0.3991,2.1075,77.7375,3590,1003,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,3,0,7564,-2.4179,0.3110,19.0508,-100.0000,-100.0000,6246.0422,6.7580,-14.742,2.4310,0.2696,3.8533,87.2951,0,1560,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,3,0.3,5661,-1.2348,0.3680,22.5402,-99.9994,-99.9994,6587.7606,6.6711,-11.66,1.2582,0.3330,2.8839,83.2538,1910,1556,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,3,0.5,4061,-0.9800,0.3890,23.2209,-99.9811,-99.9810,6639.7159,6.2641,-9.159,0.9852,0.3992,2.0688,77.6410,3512,1539,38.8712,6.3403
1h_n8,3,atr,2,0,1.5,0,5982,-1.9182,0.2552,23.3367,-99.9999,-99.9999,6543.9300,3.4371,-16.137,1.8534,0.2956,3.0474,85.5232,0,443,39.5277,6.1620
1h_n8,3,atr,2,0,1.5,0.3,4841,-1.2401,0.2894,27.9694,-99.9978,-99.9978,6680.1860,3.4196,-13.718,1.1935,0.3445,2.4661,82.3177,1145,442,39.5277,6.1620
1h_n8,3,atr,2,0,1.5,0.5,3569,-0.9726,0.3036,32.1659,-99.9620,-99.9620,6534.0294,3.2930,-11.294,0.9226,0.4093,1.8181,76.8563,2417,440,39.5277,6.1620
