context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,3,atr,1.5,0,2,0,6750,-2.2782,0.3205,20.0000,-100.0000,-100.0000,7962.6327,5.2234,-16.628,2.2384,0.2365,3.4386,90.1481,0,920,38.4604,6.5008
1h_n8,3,atr,1.5,0,2,0.3,5573,-1.6056,0.3523,23.4344,-99.9997,-99.9997,8199.8730,5.1909,-14.657,1.5724,0.2718,2.8390,88.1572,1178,919,38.4604,6.5008
1h_n8,3,atr,1.5,0,2,0.5,4180,-1.2838,0.3900,26.2440,-99.9919,-99.9919,8686.8981,4.9837,-12.047,1.2524,0.3176,2.1294,84.5215,2574,915,38.4604,6.5008
1h_n8,3,atr,1.5,0,3,0,6609,-2.2440,0.3950,18.2781,-100.0000,-100.0000,8533.1756,7.2297,-14.976,2.2279,0.2375,3.3668,90.0893,0,1394,38.4604,6.5008
1h_n8,3,atr,1.5,0,3,0.3,5459,-1.5870,0.4279,20.5166,-99.9996,-99.9996,8745.6673,7.1681,-13.185,1.5660,0.2729,2.7809,88.0931,1151,1392,38.4604,6.5008
1h_n8,3,atr,1.5,0,3,0.5,4093,-1.2644,0.4482,21.7200,-99.9902,-99.9901,8853.0730,6.8187,-10.863,1.2427,0.3192,2.0851,84.4124,2521,1376,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,1.5,0,8156,-2.8262,0.2575,17.8274,-100.0000,-100.0000,7773.2663,4.2617,-19.718,2.7636,0.2167,4.1549,91.2948,0,828,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,1.5,0.3,6173,-1.6554,0.3019,22.7928,-99.9999,-99.9999,8024.7952,4.2352,-16.621,1.6112,0.2655,3.1447,88.6279,1985,826,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,1.5,0.5,4484,-1.3049,0.3218,27.1632,-99.9962,-99.9962,8095.7249,4.0763,-13.53,1.2610,0.3153,2.2843,84.7904,3677,824,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,2,0,8057,-2.7953,0.3138,18.5677,-100.0000,-100.0000,8049.8405,5.5424,-18.192,2.7616,0.2173,4.1044,91.2623,0,1182,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,2,0.3,6099,-1.6324,0.3620,23.4465,-99.9999,-99.9999,8309.5988,5.4945,-15.138,1.6067,0.2663,3.1070,88.5883,1959,1180,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,2,0.5,4429,-1.2915,0.3855,26.3942,-99.9953,-99.9953,8435.7759,5.2548,-12.285,1.2591,0.3162,2.2562,84.7370,3632,1176,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,3,0,7865,-2.7441,0.3935,17.4189,-100.0000,-100.0000,8737.9221,7.7377,-16.397,2.7424,0.2186,4.0066,91.1888,0,1830,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,3,0.3,5962,-1.6100,0.4406,20.7816,-99.9998,-99.9998,8897.7519,7.6410,-13.574,1.5998,0.2675,3.0372,88.5106,1904,1824,38.4604,6.5008
1h_n8,3,atr,1.5,0.1,3,0.5,4326,-1.2685,0.4401,21.9834,-99.9938,-99.9938,8516.5479,7.2334,-11.045,1.2501,0.3180,2.2038,84.6047,3545,1805,38.4604,6.5008
1h_n8,3,atr,2,0,1.5,0,6108,-2.2125,0.2764,20.5305,-99.9999,-99.9999,8126.5771,4.0677,-16.897,2.1641,0.2451,3.1116,89.4728,0,536,39.1961,6.2725
1h_n8,3,atr,2,0,1.5,0.3,5098,-1.5793,0.3057,24.0879,-99.9990,-99.9990,8318.0206,4.0537,-14.995,1.5416,0.2798,2.5970,87.4461,1011,535,39.1961,6.2725
1h_n8,3,atr,2,0,1.5,0.5,3927,-1.2724,0.3404,27.9348,-99.9844,-99.9844,8707.6588,3.9476,-12.691,1.2320,0.3231,2.0005,83.9827,2185,535,39.1961,6.2725
1h_n8,3,atr,2,0,2,0,6033,-2.1792,0.3309,20.7691,-99.9999,-99.9999,8468.6590,5.3100,-15.586,2.1600,0.2460,3.0734,89.4083,0,777,39.1961,6.2725
1h_n8,3,atr,2,0,2,0.3,5038,-1.5534,0.3616,24.0770,-99.9987,-99.9987,8655.0610,5.2828,-13.774,1.5365,0.2807,2.5665,87.3759,996,776,39.1961,6.2725
1h_n8,3,atr,2,0,2,0.5,3877,-1.2579,0.3945,26.6185,-99.9826,-99.9825,8956.6405,5.1214,-11.614,1.2291,0.3244,1.9750,83.8535,2160,776,39.1961,6.2725
1h_n8,3,atr,2,0,3,0,5921,-2.1412,0.3980,19.0846,-99.9998,-99.9998,8903.8892,7.3068,-14.048,2.1505,0.2470,3.0163,89.3261,0,1171,39.1961,6.2725
1h_n8,3,atr,2,0,3,0.3,4950,-1.5325,0.4299,21.1111,-99.9983,-99.9983,9078.7662,7.2540,-12.396,1.5306,0.2816,2.5217,87.2929,972,1170,39.1961,6.2725
