context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1d_n3,2,atr,2,0.1,1.5,3,1845,-0.1520,0.6943,33.5501,-76.8084,-75.9541,5308.3757,26.1630,-2.587,0.1318,2.1347,0.9399,0.1084,99.0244,2789,36.0825,0.3566
1d_n3,2,atr,2,0.1,1.5,4,1591,-0.1105,0.7424,34.9466,-60.7167,-59.1753,4451.0634,31.2823,-1.904,0.0990,2.8526,0.8105,0.0000,100.0000,3329,36.0825,0.3566
1d_n3,2,atr,2,0.1,2,3,1732,-0.1420,0.7207,31.8129,-73.0493,-71.5254,5315.0289,28.6745,-2.118,0.1323,2.1288,0.8823,0.1155,98.9607,3048,36.0825,0.3566
1d_n3,2,atr,2,0.1,2,4,1511,-0.0997,0.7627,33.8848,-56.0685,-53.8309,4297.7414,33.1555,-1.549,0.0989,2.8637,0.7697,0.0000,100.0000,3508,36.0825,0.3566
1d_n3,2,atr,2,0.1,3,3,1607,-0.1317,0.7416,30.4916,-68.7524,-66.3624,5202.8939,31.3999,-1.671,0.1323,2.1417,0.8186,0.1245,98.8799,3321,36.0825,0.3566
1d_n3,2,atr,2,0.1,3,4,1426,-0.0976,0.7757,33.1697,-53.8694,-51.2270,4187.3991,35.5888,-1.337,0.0986,2.8856,0.7264,0.0000,100.0000,3727,36.0825,0.3566
1d_n3,3,fractal,-,0,1.5,3,1610,-0.1099,0.7833,35.7764,-59.9791,-59.4433,6523.4487,21.6510,-1.747,0.1356,2.0835,0.8202,0.3106,98.9441,1968,35.9794,0.5670
1d_n3,3,fractal,-,0,1.5,4,1423,-0.0724,0.8268,36.8939,-41.3351,-41.1641,4941.5436,26.6469,-1.213,0.1006,2.8192,0.7249,0.0703,100.0000,2366,35.9794,0.5670
1d_n3,3,fractal,-,0,2,3,1524,-0.1021,0.8006,33.6614,-55.2327,-55.0553,6207.7333,24.1040,-1.435,0.1349,2.0993,0.7764,0.3281,98.8845,2163,35.9794,0.5670
1d_n3,3,fractal,-,0,2,4,1344,-0.0689,0.8425,35.1935,-38.3240,-38.1442,4821.7547,28.6968,-1.016,0.1003,2.8283,0.6847,0.0744,100.0000,2531,35.9794,0.5670
1d_n3,3,fractal,-,0,3,3,1415,-0.0854,0.8359,31.9435,-47.1542,-46.7990,6171.7891,26.9178,-1.006,0.1341,2.1012,0.7208,0.3534,98.9399,2385,35.9794,0.5670
1d_n3,3,fractal,-,0,3,4,1276,-0.0466,0.8943,34.3260,-29.2224,-27.2890,5025.5597,30.8442,-0.6,0.1003,2.8197,0.6500,0.0784,100.0000,2699,35.9794,0.5670
1d_n3,3,fractal,-,0.1,1.5,3,1783,-0.1107,0.7764,35.8385,-63.6092,-63.4483,6502.6428,24.8588,-1.849,0.1335,2.1391,0.9083,0.3365,99.1026,2619,35.9794,0.5670
1d_n3,3,fractal,-,0.1,1.5,4,1554,-0.0668,0.8406,37.0656,-41.6569,-41.4868,5234.2455,30.0633,-1.146,0.0991,2.8910,0.7916,0.1287,100.0000,3120,35.9794,0.5670
1d_n3,3,fractal,-,0.1,2,3,1675,-0.0937,0.8142,33.6119,-55.5913,-55.4154,6502.6749,27.5172,-1.349,0.1329,2.1560,0.8533,0.3582,99.0448,2870,35.9794,0.5670
1d_n3,3,fractal,-,0.1,2,4,1457,-0.0591,0.8642,35.0721,-36.4403,-36.2550,5151.0064,32.4481,-0.882,0.0989,2.9050,0.7422,0.1373,100.0000,3336,35.9794,0.5670
1d_n3,3,fractal,-,0.1,3,3,1540,-0.0731,0.8583,31.4286,-44.9003,-44.6819,6616.3239,30.7175,-0.869,0.1322,2.1654,0.7845,0.3896,99.0909,3154,35.9794,0.5670
1d_n3,3,fractal,-,0.1,3,4,1363,-0.0375,0.9130,33.8958,-25.0369,-24.3850,5260.3436,34.9335,-0.484,0.0988,2.9086,0.6943,0.1467,100.0000,3567,35.9794,0.5670
1d_n3,3,atr,2,0,1.5,3,1469,-0.1620,0.7064,33.4241,-70.5429,-70.0813,5236.9256,20.6998,-2.488,0.1345,2.0728,0.7483,0.2723,98.6385,1506,36.0825,0.3566
1d_n3,3,atr,2,0,1.5,4,1298,-0.1235,0.7334,34.5917,-56.5327,-55.7973,3983.6074,25.7052,-1.947,0.1003,2.7974,0.6612,0.0000,100.0000,1869,36.0825,0.3566
1d_n3,3,atr,2,0,2,3,1406,-0.1496,0.7345,31.4367,-66.5798,-65.7580,5217.0698,23.1048,-2.03,0.1345,2.0795,0.7163,0.2845,98.6486,1670,36.0825,0.3566
1d_n3,3,atr,2,0,2,4,1233,-0.1102,0.7617,33.5766,-51.4361,-50.1215,3939.8249,27.8260,-1.569,0.1002,2.7960,0.6281,0.0000,100.0000,2001,36.0825,0.3566
1d_n3,3,atr,2,0,3,3,1319,-0.1357,0.7609,30.1744,-61.1675,-60.1496,5196.4063,25.8244,-1.587,0.1343,2.0845,0.6719,0.2274,98.6353,1850,36.0825,0.3566
1d_n3,3,atr,2,0,3,4,1178,-0.1022,0.7872,32.4278,-47.6730,-46.2643,3931.3832,29.8126,-1.286,0.0997,2.8209,0.6001,0.0000,100.0000,2136,36.0825,0.3566
1d_n3,3,atr,2,0.1,1.5,3,1613,-0.1515,0.7090,34.0360,-71.5835,-71.1381,5193.8790,22.9792,-2.418,0.1328,2.1088,0.8217,0.1240,98.7601,1999,36.0825,0.3566
1d_n3,3,atr,2,0.1,1.5,4,1409,-0.1083,0.7604,35.1313,-54.8952,-54.1321,4237.8675,28.4892,-1.731,0.0992,2.8407,0.7178,0.0000,100.0000,2439,36.0825,0.3566
1d_n3,3,atr,2,0.1,2,3,1527,-0.1355,0.7462,31.8926,-66.1397,-65.3070,5255.1616,25.7691,-1.875,0.1327,2.1176,0.7779,0.1310,98.7557,2215,36.0825,0.3566
1d_n3,3,atr,2,0.1,2,4,1329,-0.0953,0.7918,33.9353,-49.6250,-47.8684,4242.6743,30.8389,-1.372,0.0993,2.8430,0.6770,0.0000,100.0000,2621,36.0825,0.3566
1d_n3,3,atr,2,0.1,3,3,1413,-0.1144,0.7915,30.6440,-58.0126,-56.7224,5459.7306,28.7602,-1.339,0.1327,2.1262,0.7198,0.1415,98.7969,2456,36.0825,0.3566
1d_n3,3,atr,2,0.1,3,4,1249,-0.0934,0.8022,33.0665,-47.0791,-45.3681,4086.6825,33.1066,-1.177,0.0990,2.8622,0.6363,0.0000,100.0000,2798,36.0825,0.3566
